,farther_vals,closer_vals
,-0.2235632891,0.3559831019
,-0.1070325502,0.05424353269
,-0.1870939591,0.1436641688
,-0.110472831,0.1224757046
,-0.1700056727,0.1087018887
,-0.08973481208,0.3183382798
,-0.3276487791,0.2013908489
,-0.1087364391,0.1302104456
,-0.09342111118,0.1348910114
,-0.06745307082,0.09429477812
,-0.614511105,0.3520589786
,-0.2060607496,0.1636872802
,-0.101391508,0.08192237639
,-0.1483322186,0.05697602139
,-0.04839999377,0.002664702516
,-0.2274273512,0.1258770374
,-0.364095601,0.27278412
,-0.3541666757,0.2950354406
,-0.1880145618,0.1205425029
,-0.05807279056,0.1334745828
,-0.2703541796,0.2630112521
,-0.3197633202,0.2703606837
,-0.2258470364,0.2282053146
,-0.4102703038,0.2602500035
,-0.298287448,0.1745572599
